city,time,month,year,lng,lat,temperature_2m_max,temperature_2m_min,temperature_moyenne_jour,precipitation_sum,windspeed_10m_max,windgusts_10m_max,score_temperature,score_pluie,score_vent,score_rafales,weather_risk_score,risk_category
Casablanca,2026-09-14,9,2026,-7.62,33.5992,32.3,23.6,27.95,0.0,10.3,29.5,0.0,0.0,12.875,29.5,22.07,Faible
Casablanca,2026-09-15,9,2026,-7.62,33.5992,28.0,21.7,24.85,0.0,11.9,33.1,0.0,0.0,14.875,33.1,18.65,Faible
Casablanca,2026-09-16,9,2026,-7.62,33.5992,25.6,20.9,23.25,0.0,14.6,38.2,0.0,0.0,18.25,38.2,23.02,Faible
Casablanca,2026-09-17,9,2026,-7.62,33.5992,25.6,19.7,22.65,0.0,12.5,34.2,0.0,0.0,15.625,34.2,21.17,Faible
Casablanca,2026-09-18,9,2026,-7.62,33.5992,25.4,18.2,21.799999999999997,0.0,14.8,38.5,0.0,0.0,18.5,38.5,23.17,Faible
Casablanca,2026-09-19,9,2026,-7.62,33.5992,28.6,19.8,24.200000000000003,0.0,13.1,34.9,0.0,0.0,16.375,34.9,19.56,Faible
Casablanca,2026-09-20,9,2026,-7.62,33.5992,31.7,21.1,26.4,0.0,13.3,35.3,0.0,0.0,16.625,35.3,19.75,Faible
Tangier,2026-09-14,9,2026,-5.8039,35.7767,29.3,22.6,25.950000000000003,0.0,26.1,61.2,0.0,0.0,32.62500000000001,61.199999999999996,36.52,Modéré
Tangier,2026-09-15,9,2026,-5.8039,35.7767,30.1,21.1,25.6,0.0,16.1,36.7,0.0,0.0,20.125,36.7,26.04,Faible
Tangier,2026-09-16,9,2026,-5.8039,35.7767,26.9,18.2,22.549999999999997,0.0,21.3,48.6,0.0,0.0,26.625,48.6,28.24,Faible
Tangier,2026-09-17,9,2026,-5.8039,35.7767,26.2,18.8,22.5,0.0,15.0,34.9,0.0,0.0,18.75,34.9,22.16,Faible
Tangier,2026-09-18,9,2026,-5.8039,35.7767,28.2,18.7,23.45,0.0,21.4,49.3,0.0,0.0,26.749999999999996,49.3,28.48,Faible
Tangier,2026-09-19,9,2026,-5.8039,35.7767,27.3,21.7,24.5,0.0,34.2,64.8,0.0,0.0,42.75000000000001,64.8,37.13,Modéré
Tangier,2026-09-20,9,2026,-5.8039,35.7767,26.9,22.9,24.9,0.0,35.1,65.5,0.0,0.0,43.875,65.5,37.62,Modéré
Fès,2026-09-14,9,2026,-5.0033,34.0433,38.1,23.5,30.8,0.0,10.8,28.8,8.000000000000007,0.0,13.5,28.800000000000004,20.22,Faible
Fès,2026-09-15,9,2026,-5.0033,34.0433,35.2,23.9,29.55,0.0,15.1,38.2,0.0,0.0,18.875,38.2,23.18,Faible
Fès,2026-09-16,9,2026,-5.0033,34.0433,31.3,20.5,25.9,0.0,16.8,40.3,0.0,0.0,21.000000000000004,40.3,27.34,Faible
Fès,2026-09-17,9,2026,-5.0033,34.0433,27.7,18.7,23.2,0.0,12.2,33.5,0.0,0.0,15.25,33.5,20.86,Faible
Fès,2026-09-18,9,2026,-5.0033,34.0433,32.0,18.0,25.0,0.0,9.7,27.0,0.0,0.0,12.125,27.0,18.13,Faible
Fès,2026-09-19,9,2026,-5.0033,34.0433,37.4,21.2,29.299999999999997,0.0,9.8,26.7,0.0,0.0,12.250000000000002,26.700000000000003,18.07,Faible
Fès,2026-09-20,9,2026,-5.0033,34.0433,38.9,23.5,31.2,0.0,17.2,41.0,11.999999999999993,0.0,21.5,41.0,26.48,Faible
Marrakech,2026-09-14,9,2026,-7.9811,31.6295,39.8,23.2,31.5,0.0,10.9,31.7,15.0,0.0,13.625000000000002,31.7,22.17,Faible
Marrakech,2026-09-15,9,2026,-7.9811,31.6295,38.4,24.4,31.4,0.0,14.8,38.9,13.999999999999984,0.0,18.5,38.9,25.39,Faible
Marrakech,2026-09-16,9,2026,-7.9811,31.6295,34.6,20.3,27.450000000000003,0.0,13.3,35.6,0.0,0.0,16.625,35.6,24.84,Faible
Marrakech,2026-09-17,9,2026,-7.9811,31.6295,30.3,18.3,24.3,0.0,8.8,26.3,0.0,0.0,11.000000000000002,26.3,20.64,Faible
Marrakech,2026-09-18,9,2026,-7.9811,31.6295,31.7,18.2,24.95,0.0,7.9,25.2,0.0,0.0,9.875,25.2,20.03,Faible
Marrakech,2026-09-19,9,2026,-7.9811,31.6295,35.7,19.6,27.650000000000002,0.3,12.9,23.0,0.0,0.75,16.125,23.0,18.16,Faible
Marrakech,2026-09-20,9,2026,-7.9811,31.6295,37.9,20.3,29.1,0.0,11.3,23.0,0.0,0.0,14.125000000000002,23.0,17.43,Faible
Sale,2026-09-14,9,2026,-6.8167,34.05,33.5,23.5,28.5,0.0,11.1,29.2,0.0,0.0,13.874999999999998,29.2,22.23,Faible
Sale,2026-09-15,9,2026,-6.8167,34.05,27.6,21.5,24.55,0.0,13.7,34.9,0.0,0.0,17.125,34.9,19.75,Faible
Sale,2026-09-16,9,2026,-6.8167,34.05,25.8,20.8,23.3,0.0,15.5,39.2,0.0,0.0,19.375,39.2,23.6,Faible
Sale,2026-09-17,9,2026,-6.8167,34.05,25.9,18.8,22.35,0.0,12.0,32.0,0.0,0.0,15.0,32.0,20.35,Faible
Sale,2026-09-18,9,2026,-6.8167,34.05,26.2,17.4,21.799999999999997,0.0,15.3,38.2,0.0,0.0,19.125,38.2,23.24,Faible
Sale,2026-09-19,9,2026,-6.8167,34.05,27.4,17.6,22.5,0.0,12.3,30.6,0.0,0.0,15.375,30.599999999999998,18.02,Faible
Sale,2026-09-20,9,2026,-6.8167,34.05,30.8,21.3,26.05,0.0,13.7,30.2,0.0,0.0,17.125,30.2,23.34,Faible
Meknès,2026-09-14,9,2026,-5.55,33.8833,37.3,23.1,30.2,0.0,16.1,39.6,1.9999999999999927,0.0,20.125,39.6,24.21,Faible
Meknès,2026-09-15,9,2026,-5.55,33.8833,34.2,21.3,27.75,0.0,16.1,40.7,0.0,0.0,20.125,40.7,24.24,Faible
Meknès,2026-09-16,9,2026,-5.55,33.8833,30.3,18.9,24.6,0.0,16.8,42.1,0.0,0.0,21.000000000000004,42.1,27.88,Faible
Meknès,2026-09-17,9,2026,-5.55,33.8833,26.3,17.4,21.85,0.0,12.8,33.8,0.0,0.0,16.0,33.8,21.14,Faible
Meknès,2026-09-18,9,2026,-5.55,33.8833,30.2,15.6,22.9,0.0,11.9,31.3,0.0,0.0,14.875,31.3,20.11,Faible
Meknès,2026-09-19,9,2026,-5.55,33.8833,34.9,19.0,26.95,0.6000000000000001,7.8,28.1,0.0,1.5000000000000002,9.75,28.1,13.32,Faible
Meknès,2026-09-20,9,2026,-5.55,33.8833,37.3,22.0,29.65,0.0,15.5,36.4,0.0,0.0,19.375,36.4,22.76,Faible
Rabat,2026-09-14,9,2026,-6.8414,34.0211,33.5,23.5,28.5,0.0,11.1,29.2,0.0,0.0,13.874999999999998,29.2,22.23,Faible
Rabat,2026-09-15,9,2026,-6.8414,34.0211,27.6,21.6,24.6,0.0,13.7,34.9,0.0,0.0,17.125,34.9,19.75,Faible
Rabat,2026-09-16,9,2026,-6.8414,34.0211,25.8,20.9,23.35,0.0,15.5,39.2,0.0,0.0,19.375,39.2,23.6,Faible
Rabat,2026-09-17,9,2026,-6.8414,34.0211,26.0,18.9,22.45,0.0,12.0,32.0,0.0,0.0,15.0,32.0,20.35,Faible
Rabat,2026-09-18,9,2026,-6.8414,34.0211,26.2,17.5,21.85,0.0,15.3,38.2,0.0,0.0,19.125,38.2,23.24,Faible
Rabat,2026-09-19,9,2026,-6.8414,34.0211,27.4,17.6,22.5,0.0,12.3,30.6,0.0,0.0,15.375,30.599999999999998,18.02,Faible
Rabat,2026-09-20,9,2026,-6.8414,34.0211,30.9,21.4,26.15,0.0,13.7,30.2,0.0,0.0,17.125,30.2,23.34,Faible
Agadir,2026-09-14,9,2026,-9.5831,30.4214,39.3,28.6,33.95,0.0,17.3,43.9,39.50000000000003,0.0,21.625,43.9,31.5,Modéré
Agadir,2026-09-15,9,2026,-9.5831,30.4214,34.2,26.5,30.35,0.2,10.5,30.2,3.500000000000014,0.5,13.125,30.2,20.02,Faible
Agadir,2026-09-16,9,2026,-9.5831,30.4214,36.5,23.8,30.15,0.0,16.3,47.9,1.4999999999999858,0.0,20.375,47.9,29.69,Faible
Agadir,2026-09-17,9,2026,-9.5831,30.4214,28.0,20.3,24.15,0.0,13.8,36.0,0.0,0.0,17.25,36.0,22.11,Faible
Agadir,2026-09-18,9,2026,-9.5831,30.4214,26.3,19.7,23.0,0.0,13.5,36.7,0.0,0.0,16.875,36.7,22.23,Faible
Agadir,2026-09-19,9,2026,-9.5831,30.4214,37.7,20.2,28.950000000000003,0.0,16.3,40.0,0.0,0.0,20.375,40.0,24.09,Faible
Agadir,2026-09-20,9,2026,-9.5831,30.4214,40.1,25.2,32.65,0.0,16.9,38.5,26.499999999999986,0.0,21.125,38.5,30.81,Modéré
Kenitra,2026-09-14,9,2026,-6.5833,34.25,35.0,22.7,28.85,0.0,11.9,29.9,0.0,0.0,14.875,29.9,22.69,Faible
Kenitra,2026-09-15,9,2026,-6.5833,34.25,28.6,21.1,24.85,0.0,13.9,34.2,0.0,0.0,17.375,34.2,19.6,Faible
Kenitra,2026-09-16,9,2026,-6.5833,34.25,26.5,20.7,23.6,0.0,16.5,40.0,0.0,0.0,20.625,40.0,24.16,Faible
Kenitra,2026-09-17,9,2026,-6.5833,34.25,26.5,18.3,22.4,0.0,12.3,33.1,0.0,0.0,15.375,33.1,20.77,Faible
Kenitra,2026-09-18,9,2026,-6.5833,34.25,28.2,17.2,22.7,0.0,15.5,38.9,0.0,0.0,19.375,38.9,21.51,Faible
Kenitra,2026-09-19,9,2026,-6.5833,34.25,29.1,17.0,23.05,0.0,13.7,32.4,0.0,0.0,17.125,32.4,21.0,Faible
Kenitra,2026-09-20,9,2026,-6.5833,34.25,33.7,19.9,26.8,0.0,16.1,36.0,0.0,0.0,20.125,36.0,25.83,Faible
Oujda-Angad,2026-09-14,9,2026,-1.9114,34.6867,30.0,17.5,23.75,0.0,17.1,36.4,0.0,0.0,21.375000000000004,36.4,26.26,Faible
Oujda-Angad,2026-09-15,9,2026,-1.9114,34.6867,30.5,15.9,23.2,0.0,17.1,35.3,0.0,0.0,21.375000000000004,35.3,22.93,Faible
Oujda-Angad,2026-09-16,9,2026,-1.9114,34.6867,32.1,14.9,23.5,0.0,19.2,40.3,0.0,0.0,24.0,40.3,28.09,Faible
Oujda-Angad,2026-09-17,9,2026,-1.9114,34.6867,28.0,16.8,22.4,0.0,16.7,40.0,0.0,0.0,20.875,40.0,24.22,Faible
