city,time,temperature_2m_max,temperature_2m_min,precipitation_sum,precipitation_probability_max,windspeed_10m_max,windgusts_10m_max,weathercode,month,year,day,temperature_category,precipitation_category,wind_category,lat,lng
Casablanca,2026-09-14,32.3,23.6,0.0,0,10.3,29.5,1,9,2026,14,Chaude,Aucune,Faible,33.5992,-7.62
Casablanca,2026-09-15,28.0,21.7,0.0,0,11.9,33.1,45,9,2026,15,Modérée,Aucune,Faible,33.5992,-7.62
Casablanca,2026-09-16,25.6,20.9,0.0,0,14.6,38.2,2,9,2026,16,Modérée,Aucune,Faible,33.5992,-7.62
Casablanca,2026-09-17,25.6,19.7,0.0,2,12.5,34.2,3,9,2026,17,Modérée,Aucune,Faible,33.5992,-7.62
Casablanca,2026-09-18,25.4,18.2,0.0,3,14.8,38.5,2,9,2026,18,Modérée,Aucune,Faible,33.5992,-7.62
Casablanca,2026-09-19,28.6,19.8,0.0,2,13.1,34.9,45,9,2026,19,Modérée,Aucune,Faible,33.5992,-7.62
Casablanca,2026-09-20,31.7,21.1,0.0,0,13.3,35.3,45,9,2026,20,Chaude,Aucune,Faible,33.5992,-7.62
Tangier,2026-09-14,29.3,22.6,0.0,0,26.1,61.2,1,9,2026,14,Modérée,Aucune,Modéré,35.7767,-5.8039
Tangier,2026-09-15,30.1,21.1,0.0,0,16.1,36.7,1,9,2026,15,Chaude,Aucune,Faible,35.7767,-5.8039
Tangier,2026-09-16,26.9,18.2,0.0,0,21.3,48.6,3,9,2026,16,Modérée,Aucune,Modéré,35.7767,-5.8039
Tangier,2026-09-17,26.2,18.8,0.0,0,15.0,34.9,3,9,2026,17,Modérée,Aucune,Faible,35.7767,-5.8039
Tangier,2026-09-18,28.2,18.7,0.0,0,21.4,49.3,3,9,2026,18,Modérée,Aucune,Modéré,35.7767,-5.8039
Tangier,2026-09-19,27.3,21.7,0.0,0,34.2,64.8,3,9,2026,19,Modérée,Aucune,Modéré,35.7767,-5.8039
Tangier,2026-09-20,26.9,22.9,0.0,3,35.1,65.5,3,9,2026,20,Modérée,Aucune,Modéré,35.7767,-5.8039
Fès,2026-09-14,38.1,23.5,0.0,0,10.8,28.8,3,9,2026,14,Très chaude,Aucune,Faible,34.0433,-5.0033
Fès,2026-09-15,35.2,23.9,0.0,0,15.1,38.2,3,9,2026,15,Très chaude,Aucune,Faible,34.0433,-5.0033
Fès,2026-09-16,31.3,20.5,0.0,0,16.8,40.3,1,9,2026,16,Chaude,Aucune,Faible,34.0433,-5.0033
Fès,2026-09-17,27.7,18.7,0.0,3,12.2,33.5,3,9,2026,17,Modérée,Aucune,Faible,34.0433,-5.0033
Fès,2026-09-18,32.0,18.0,0.0,13,9.7,27.0,3,9,2026,18,Chaude,Aucune,Faible,34.0433,-5.0033
Fès,2026-09-19,37.4,21.2,0.0,5,9.8,26.7,3,9,2026,19,Très chaude,Aucune,Faible,34.0433,-5.0033
Fès,2026-09-20,38.9,23.5,0.0,5,17.2,41.0,2,9,2026,20,Très chaude,Aucune,Faible,34.0433,-5.0033
Marrakech,2026-09-14,39.8,23.2,0.0,5,10.9,31.7,3,9,2026,14,Très chaude,Aucune,Faible,31.6295,-7.9811
Marrakech,2026-09-15,38.4,24.4,0.0,5,14.8,38.9,3,9,2026,15,Très chaude,Aucune,Faible,31.6295,-7.9811
Marrakech,2026-09-16,34.6,20.3,0.0,0,13.3,35.6,0,9,2026,16,Chaude,Aucune,Faible,31.6295,-7.9811
Marrakech,2026-09-17,30.3,18.3,0.0,0,8.8,26.3,1,9,2026,17,Chaude,Aucune,Faible,31.6295,-7.9811
Marrakech,2026-09-18,31.7,18.2,0.0,15,7.9,25.2,1,9,2026,18,Chaude,Aucune,Faible,31.6295,-7.9811
Marrakech,2026-09-19,35.7,19.6,0.30000000000000004,17,12.9,23.0,3,9,2026,19,Très chaude,Faible,Faible,31.6295,-7.9811
Marrakech,2026-09-20,37.9,20.3,0.0,18,11.3,23.0,2,9,2026,20,Très chaude,Aucune,Faible,31.6295,-7.9811
Sale,2026-09-14,33.5,23.5,0.0,0,11.1,29.2,0,9,2026,14,Chaude,Aucune,Faible,34.05,-6.8167
Sale,2026-09-15,27.6,21.5,0.0,0,13.7,34.9,45,9,2026,15,Modérée,Aucune,Faible,34.05,-6.8167
Sale,2026-09-16,25.8,20.8,0.0,0,15.5,39.2,2,9,2026,16,Modérée,Aucune,Faible,34.05,-6.8167
Sale,2026-09-17,25.9,18.8,0.0,0,12.0,32.0,3,9,2026,17,Modérée,Aucune,Faible,34.05,-6.8167
Sale,2026-09-18,26.2,17.4,0.0,0,15.3,38.2,2,9,2026,18,Modérée,Aucune,Faible,34.05,-6.8167
Sale,2026-09-19,27.4,17.6,0.0,3,12.3,30.6,45,9,2026,19,Modérée,Aucune,Faible,34.05,-6.8167
Sale,2026-09-20,30.8,21.3,0.0,3,13.7,30.2,1,9,2026,20,Chaude,Aucune,Faible,34.05,-6.8167
Meknès,2026-09-14,37.3,23.1,0.0,0,16.1,39.6,3,9,2026,14,Très chaude,Aucune,Faible,33.8833,-5.55
Meknès,2026-09-15,34.2,21.3,0.0,0,16.1,40.7,3,9,2026,15,Chaude,Aucune,Faible,33.8833,-5.55
Meknès,2026-09-16,30.3,18.9,0.0,0,16.8,42.1,1,9,2026,16,Chaude,Aucune,Faible,33.8833,-5.55
Meknès,2026-09-17,26.3,17.4,0.0,3,12.8,33.8,3,9,2026,17,Modérée,Aucune,Faible,33.8833,-5.55
Meknès,2026-09-18,30.2,15.6,0.0,5,11.9,31.3,2,9,2026,18,Chaude,Aucune,Faible,33.8833,-5.55
Meknès,2026-09-19,34.9,19.0,0.6000000000000001,5,7.8,28.1,80,9,2026,19,Chaude,Faible,Faible,33.8833,-5.55
Meknès,2026-09-20,37.3,22.0,0.0,5,15.5,36.4,2,9,2026,20,Très chaude,Aucune,Faible,33.8833,-5.55
Rabat,2026-09-14,33.5,23.5,0.0,0,11.1,29.2,0,9,2026,14,Chaude,Aucune,Faible,34.0211,-6.8414
Rabat,2026-09-15,27.6,21.6,0.0,0,13.7,34.9,45,9,2026,15,Modérée,Aucune,Faible,34.0211,-6.8414
Rabat,2026-09-16,25.8,20.9,0.0,0,15.5,39.2,2,9,2026,16,Modérée,Aucune,Faible,34.0211,-6.8414
Rabat,2026-09-17,26.0,18.9,0.0,0,12.0,32.0,3,9,2026,17,Modérée,Aucune,Faible,34.0211,-6.8414
Rabat,2026-09-18,26.2,17.5,0.0,0,15.3,38.2,2,9,2026,18,Modérée,Aucune,Faible,34.0211,-6.8414
Rabat,2026-09-19,27.4,17.6,0.0,3,12.3,30.6,45,9,2026,19,Modérée,Aucune,Faible,34.0211,-6.8414
Rabat,2026-09-20,30.9,21.4,0.0,3,13.7,30.2,1,9,2026,20,Chaude,Aucune,Faible,34.0211,-6.8414
Agadir,2026-09-14,39.3,28.6,0.0,5,17.3,43.9,3,9,2026,14,Très chaude,Aucune,Faible,30.4214,-9.5831
Agadir,2026-09-15,34.2,26.5,0.2,0,10.5,30.2,3,9,2026,15,Chaude,Faible,Faible,30.4214,-9.5831
Agadir,2026-09-16,36.5,23.8,0.0,0,16.3,47.9,0,9,2026,16,Très chaude,Aucune,Faible,30.4214,-9.5831
Agadir,2026-09-17,28.0,20.3,0.0,2,13.8,36.0,2,9,2026,17,Modérée,Aucune,Faible,30.4214,-9.5831
Agadir,2026-09-18,26.3,19.7,0.0,5,13.5,36.7,2,9,2026,18,Modérée,Aucune,Faible,30.4214,-9.5831
Agadir,2026-09-19,37.7,20.2,0.0,3,16.3,40.0,3,9,2026,19,Très chaude,Aucune,Faible,30.4214,-9.5831
Agadir,2026-09-20,40.1,25.2,0.0,0,16.9,38.5,1,9,2026,20,Très chaude,Aucune,Faible,30.4214,-9.5831
Kenitra,2026-09-14,35.0,22.7,0.0,0,11.9,29.9,0,9,2026,14,Très chaude,Aucune,Faible,34.25,-6.5833
Kenitra,2026-09-15,28.6,21.1,0.0,0,13.9,34.2,45,9,2026,15,Modérée,Aucune,Faible,34.25,-6.5833
Kenitra,2026-09-16,26.5,20.7,0.0,0,16.5,40.0,2,9,2026,16,Modérée,Aucune,Faible,34.25,-6.5833
Kenitra,2026-09-17,26.5,18.3,0.0,2,12.3,33.1,3,9,2026,17,Modérée,Aucune,Faible,34.25,-6.5833
